Keyword,Search Volume (Est.),Competition,Priority,Intent,Status,Article/Action,Opportunity Score,Notes
"how to find cheap flights",7700,HIGH,HIGH,Informational,COVERED,how-to-find-cheap-flights.mdx,8/10,"Pillar article - already ranking. Keep optimizing."
"how to get cheap flights",3700,HIGH,HIGH,Informational,COVERED,how-to-find-cheap-flights.mdx,8/10,"Same intent as above. Covered by pillar."
"where to find cheap flights",1200,MEDIUM,MEDIUM,Informational,COVERED,how-to-find-cheap-flights.mdx,7/10,"Covered by pillar article."
"best time to book flights",3000,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"Title optimized. 8 FAQs added."
"cheapest day to book flights",2500,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"FAQ added targeting this query."
"cheapest day to fly",2000,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"Covered in article body."
"how far in advance to book flights",1800,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"Multiple FAQs cover this."
"do flight prices go down on tuesday",800,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added. Low competition myth-busting query."
"when to book christmas flights",600,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added. Seasonal but high intent."
"is it cheaper to book flights at midnight",400,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added. Popular myth query."
"flight deal alerts worth it",400,LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,9/10,"Title optimized. High conversion potential."
"do flight deal alerts work",300,LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,9/10,"Covered by article."
"best flight deal websites 2026",800,MEDIUM,HIGH,Transactional,PARTIAL,flight-deal-alerts-do-they-work.mdx,8/10,"Keyword added. Could expand content."
"google flights tips",1500,MEDIUM,MEDIUM,Informational,COVERED,google-flights-tips.mdx,7/10,"Title optimized with year."
"google flights tricks",800,LOW,MEDIUM,Informational,COVERED,google-flights-tips.mdx,8/10,"Covered in article."
"how to use google flights",1200,MEDIUM,MEDIUM,Informational,COVERED,google-flights-tips.mdx,7/10,"Covered in article."
"google flights vs skyscanner",1500,MEDIUM,HIGH,Informational,NOT COVERED,NEW ARTICLE NEEDED,9/10,"High opportunity. Comparison article recommended."
"google flights vs kayak",800,MEDIUM,HIGH,Informational,NOT COVERED,NEW ARTICLE NEEDED,8/10,"Can combine with skyscanner comparison."
"mistake fares",1000,MEDIUM,MEDIUM,Informational,COVERED,mistake-fares-explained.mdx,7/10,"Good coverage already."
"error fares",500,LOW,MEDIUM,Informational,COVERED,mistake-fares-explained.mdx,8/10,"Synonym covered."
"are mistake fares legal",300,LOW,HIGH,Informational,PARTIAL,mistake-fares-explained.mdx,9/10,"Could add FAQ for this."
"cheap flights from new york",2500,HIGH,HIGH,Transactional,COVERED,/cheap-flights-from-new-york,7/10,"Landing page exists. Unique content added."
"cheap flights from los angeles",2000,HIGH,HIGH,Transactional,COVERED,/cheap-flights-from-los-angeles,7/10,"Landing page exists. Unique content added."
"cheap flights from chicago",1500,HIGH,HIGH,Transactional,COVERED,/cheap-flights-from-chicago,7/10,"Landing page exists. Unique content added."
"cheap flights from san francisco",1200,MEDIUM,HIGH,Transactional,COVERED,/cheap-flights-from-san-francisco,8/10,"Landing page exists. Unique content added."
"cheap flights from denver",800,MEDIUM,HIGH,Transactional,COVERED,/cheap-flights-from-denver,8/10,"Lower competition. Good opportunity."
"cheap flights from atlanta",1000,MEDIUM,HIGH,Transactional,COVERED,/cheap-flights-from-atlanta,8/10,"Landing page exists."
"cheap flights from seattle",700,MEDIUM,HIGH,Transactional,COVERED,/cheap-flights-from-seattle,8/10,"Lower competition."
"cheap flights from boston",600,MEDIUM,HIGH,Transactional,COVERED,/cheap-flights-from-boston,8/10,"Lower competition."
"cheap flights from miami",900,MEDIUM,HIGH,Transactional,COVERED,/cheap-flights-from-miami,8/10,"Landing page exists."
"cheap flights from singapore",500,LOW,HIGH,Transactional,COVERED,/cheap-flights-from-singapore,9/10,"Already getting impressions! Lower competition."
"cheap flights from my city",600,LOW,HIGH,Transactional,COVERED,flight-deals-from-your-home-airport.mdx,9/10,"Great match for your value prop."
"flight alerts from specific airport",200,VERY LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,10/10,"Exact match for your service. Very low competition."
"why are flights so expensive 2026",3000,MEDIUM,HIGH,Informational,NOT COVERED,NEW ARTICLE NEEDED,9/10,"Timely topic. High search volume. Can convert well."
"will flight prices drop 2026",1500,MEDIUM,HIGH,Informational,NOT COVERED,NEW ARTICLE NEEDED,8/10,"Can combine with above article."
"scott's cheap flights alternative",500,LOW,HIGH,Transactional,PARTIAL,flight-deal-alerts-do-they-work.mdx,10/10,"Competitor traffic capture. High intent."
"going flights review",400,LOW,HIGH,Transactional,NOT COVERED,NEW ARTICLE NEEDED,9/10,"Competitor comparison article."
"best flight search engine",800,MEDIUM,MEDIUM,Informational,PARTIAL,google-flights-tips.mdx,7/10,"Could expand or new article."
"cheap flights to europe from us",1500,HIGH,MEDIUM,Informational,NOT COVERED,NEW ARTICLE NEEDED,7/10,"Route-specific content opportunity."
"$300 flights to europe",500,LOW,HIGH,Transactional,NOT COVERED,NEW ARTICLE NEEDED,9/10,"Price-specific query. High intent."
"how to find $200 flights",400,LOW,HIGH,Transactional,NOT COVERED,NEW ARTICLE NEEDED,9/10,"Price-specific query."
"cheapest days to fly domestic",1200,MEDIUM,MEDIUM,Informational,COVERED,best-time-to-book-flights.mdx,7/10,"Covered in article."
"do airlines honor mistake fares",300,LOW,HIGH,Informational,COVERED,mistake-fares-explained.mdx,9/10,"Covered in article. Good FAQ candidate."
"incognito mode flights myth",200,VERY LOW,MEDIUM,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"FAQ covers this."
"flight prices went up after searching",300,LOW,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,9/10,"FAQ added for this exact query."
"how to get notified of cheap flights",400,LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,9/10,"Perfect match. Could optimize H1."
"cheap flight email alerts",300,LOW,HIGH,Transactional,COVERED,flight-deal-alerts-do-they-work.mdx,9/10,"Covered by article."
"best time to book international flights",800,MEDIUM,HIGH,Informational,COVERED,best-time-to-book-flights.mdx,8/10,"Dedicated section in article."
"best time to book flights to europe",600,MEDIUM,HIGH,Informational,PARTIAL,best-time-to-book-flights.mdx,8/10,"Could expand with dedicated section."
